"Date","Time","LAFMax","LASMax","LCFMax","LCSMax","LCIMax","LAIMax","LAeq","LCeq","LZPeak","LCPeak","LZeq","LAeqI","LAPeak"
"8/19/2014","01:31:53","37","36","45","42.4","46.6","38.5","34.2","39.4","74.3","53.7","60.8","36.7","48.5"
"8/19/2014","01:31:55","44.7","37.8","52.7","45.3","56.9","49.3","36.7","43.5","68.3","66.2","49.4","45.3","66.3"
"8/19/2014","01:31:57","39.8","37.2","46","43.7","54","46.3","35.8","40.8","59.3","57.6","46.2","43.7","52.3"
"8/19/2014","01:31:59","38.9","36.6","44.4","41.8","48.2","40.8","35.2","40.3","57.7","54.8","44.8","39.4","49.8"
"8/19/2014","01:32:01","38.3","35.8","51.5","46.1","54.3","40.5","35.1","45.2","84.3","60.6","72.2","38.2","50.5"
"8/19/2014","01:32:03","37.6","35.3","44","44.4","51.2","40.5","34.7","40.9","63.5","55.2","52.5","38.1","49.2"
