"Date";"Time";"31.5Hz";"63Hz";"125Hz";"250Hz";"500Hz";"1kHz";"2kHz";"4kHz";"8kHz";"16kHz"
"19-08-2014";"01:32:51";"30,1";"26,4";"27,4";"34,8";"36,6";"31,6";"25,8";"20,2";"19,1";"23,7"
"19-08-2014";"01:32:51.25";"33,2";"23,4";"29,3";"30,9";"32,1";"30,8";"26,6";"19,5";"18,1";"23,7"
"19-08-2014";"01:32:51.50";"32,9";"23,3";"29";"35,5";"37,6";"31,5";"26,8";"22,4";"17,8";"23,5"
"19-08-2014";"01:32:51.75";"27";"25,6";"29,6";"39,6";"34,8";"30,7";"25,7";"20,8";"18,9";"23,7"
"19-08-2014";"01:32:52";"34,5";"30,7";"30,9";"36,2";"34,5";"31,5";"30,5";"23,7";"18,2";"23,6"
"19-08-2014";"01:32:52.25";"30,9";"24,6";"30,3";"31,5";"27,4";"30,5";"26";"20";"18,4";"23,7"
"19-08-2014";"01:32:52.50";"30";"29,9";"29,5";"33,2";"29,7";"30,8";"24,2";"20,9";"18,9";"23,7"
"19-08-2014";"01:32:52.75";"38,8";"33,9";"30,2";"32,4";"35,6";"31,9";"25,8";"20,4";"18,5";"23,7"
"19-08-2014";"01:32:53";"36,5";"27,1";"28";"34,5";"33,5";"31,5";"29,3";"22,9";"18";"23,7"
"19-08-2014";"01:32:53.25";"31,6";"26,2";"30,8";"33,2";"31,1";"32,3";"25,5";"19,6";"17,8";"23,7"
"19-08-2014";"01:32:53.50";"32,6";"25,1";"29,2";"30,7";"31,4";"34,6";"26,3";"21,8";"19,3";"23,8"
"19-08-2014";"01:32:53.75";"32";"27,9";"29";"30";"34";"31,9";"26,3";"21,2";"19,6";"23,7"
