"Band";"Value";"A";"C"
"31.5Hz";"31,22 dB";"-8,18 dB";"28,22 dB"
"63Hz";"25,95 dB";"-0,25 dB";"25,15 dB"
"125Hz";"26,74 dB";"10,64 dB";"26,54 dB"
"250Hz";"30,42 dB";"21,82 dB";"30,42 dB"
"500Hz";"33,43 dB";"30,23 dB";"33,43 dB"
"1kHz";"31,55 dB";"31,55 dB";"31,55 dB"
"2kHz";"24,01 dB";"25,21 dB";"23,81 dB"
"4kHz";"16,63 dB";"17,63 dB";"15,83 dB"
"8kHz";"17,91 dB";"16,81 dB";"14,91 dB"
"16kHz";"23,6 dB";"17,0 dB";"15,1 dB"
