"Date";"Time";"31.5Hz";"63Hz";"125Hz";"250Hz";"500Hz";"1kHz";"2kHz";"4kHz";"8kHz";"16kHz"
"19-08-2014";"01:32:36";"27,1";"23,8";"26,4";"33,7";"37,3";"30,2";"23,1";"19,1";"19,3";"23,7"
"19-08-2014";"01:32:36.50";"28,2";"22,1";"27,2";"32,2";"33,1";"31";"23,7";"19,4";"20,8";"23,6"
"19-08-2014";"01:32:37";"27,5";"25,5";"27,4";"30,8";"34";"30,5";"23,9";"20";"17,9";"23,6"
"19-08-2014";"01:32:37.50";"32,7";"24,8";"29,1";"40,7";"36";"30,6";"25,1";"19,5";"18,1";"23,6"
"19-08-2014";"01:32:38";"27,8";"22,7";"25,8";"32,7";"36,3";"31";"24,8";"19,9";"18";"23,6"
"19-08-2014";"01:32:38.50";"28,9";"23";"24";"30,4";"32,1";"31,3";"26,7";"18,7";"18";"23,6"
"19-08-2014";"01:32:39";"28,2";"24,5";"25,4";"35,8";"35,5";"31";"23,1";"19";"18,3";"23,7"
"19-08-2014";"01:32:39.50";"28,8";"35,4";"31,9";"32,2";"34";"32,2";"24,7";"18,8";"18,3";"23,7"
"19-08-2014";"01:32:40";"40,5";"29,7";"27,8";"37,2";"37,9";"31,5";"24";"18,3";"18";"23,6"
"19-08-2014";"01:32:40.50";"35,6";"28,5";"26";"30,9";"36,6";"30,4";"24,1";"18,5";"18,1";"23,6"
"19-08-2014";"01:32:41";"34,2";"26,2";"26";"37,1";"37,8";"30";"23,6";"19,7";"18,3";"23,6"
