"Date","Time","31.5Hz","63Hz","125Hz","250Hz","500Hz","1kHz","2kHz","4kHz","8kHz","16kHz"
"8/19/2014","01:32:14","31.7","28","28.2","35","37.7","30.8","23.1","20.2","19.8","23.7"
"8/19/2014","01:32:15","26","24.2","26.6","33.1","36.7","30","23.8","19.1","19","23.6"
"8/19/2014","01:32:16","27.6","24.1","26.9","33.3","34.7","31.5","24.1","19.5","18.8","23.6"
"8/19/2014","01:32:17","28.8","24.1","26.4","33.1","34.8","30.3","23.2","19.4","18.8","23.6"
"8/19/2014","01:32:18","29.8","24.9","26.7","32.6","35.8","31","24.4","20.5","20.5","23.6"
"8/19/2014","01:32:19","25.9","24.3","27.5","37.4","32.6","30.9","23.9","20","19.2","23.6"
"8/19/2014","01:32:20","28.1","24.2","28.9","40.6","37.1","31.9","25.3","20","18.3","23.6"
"8/19/2014","01:32:21","36.5","31.5","27","35.7","34.1","29.3","24.6","18.9","17.9","23.6"
"8/19/2014","01:32:22","30","25.9","25.4","36.7","34.2","30.1","24.1","19.3","18.1","23.6"
