"Date";"Time";"31.5Hz";"63Hz";"125Hz";"250Hz";"500Hz";"1kHz";"2kHz";"4kHz";"8kHz";"16kHz"
"19-08-2014";"01:33:25";"34,57";"28,2";"28,77";"25,78";"24,36";"30,45";"23,19";"21,51";"18,88";"23,78"
"19-08-2014";"01:33:25.06";"38,93";"24,4";"25,52";"27,32";"32,2";"32,59";"24,13";"21,91";"18,9";"23,64"
"19-08-2014";"01:33:25.12";"37,1";"25,68";"23,82";"38,57";"40,61";"31,65";"25,61";"21,49";"18,49";"23,26"
"19-08-2014";"01:33:25.18";"32,67";"23,6";"26,1";"33,69";"33,35";"31,02";"24,94";"21,54";"19,23";"23,42"
"19-08-2014";"01:33:25.25";"31,13";"21,47";"25,02";"26,42";"29,78";"33,23";"27,37";"24";"19,2";"23,78"
"19-08-2014";"01:33:25.31";"28,96";"22,29";"22,47";"27,7";"30,42";"30,38";"24,36";"23,31";"18,59";"23,7"
"19-08-2014";"01:33:25.37";"29,41";"26,57";"26,17";"24,44";"21,19";"31,45";"24,55";"22,79";"18,21";"23,65"
"19-08-2014";"01:33:25.43";"28,66";"26,28";"26,74";"44,19";"31,91";"30,52";"26,72";"24,25";"18,23";"23,75"
"19-08-2014";"01:33:25.50";"27,41";"23,13";"31,05";"45,91";"38,64";"30,34";"27,07";"23,87";"18,55";"23,54"
"19-08-2014";"01:33:25.56";"25,87";"22,66";"29";"44,21";"34,67";"30,36";"25,18";"22,18";"19,57";"23,87"
"19-08-2014";"01:33:25.62";"28,11";"24,07";"26,13";"37,74";"24,96";"30,48";"23,23";"21,94";"19,39";"23,65"
"19-08-2014";"01:33:25.68";"29,56";"24,06";"24,92";"36,97";"32,47";"31,85";"23,65";"21,31";"19,38";"23,68"
"19-08-2014";"01:33:25.75";"31,2";"22";"26,82";"37,79";"34,44";"31,11";"24,06";"21,34";"18,29";"23,46"
"19-08-2014";"01:33:25.81";"31,16";"20,81";"28,16";"39,2";"34,34";"30,29";"23,41";"19,71";"18,33";"23,73"
"19-08-2014";"01:33:25.87";"29,24";"23,85";"26,05";"35,6";"30,9";"28,64";"25,17";"20";"17,68";"23,47"
"19-08-2014";"01:33:25.93";"31,39";"25,82";"22,59";"28,02";"35,35";"31";"24,82";"23,91";"18,79";"23,51"
"19-08-2014";"01:33:26";"32,76";"27,81";"25,3";"29,04";"36,23";"29,99";"25,06";"23,99";"19,01";"23,75"
"19-08-2014";"01:33:26.06";"34,37";"24,4";"26,77";"22,3";"22,97";"30,19";"22,88";"22,33";"18,37";"23,37"
"19-08-2014";"01:33:26.12";"34,13";"24,04";"25,26";"32,65";"40,18";"30,74";"24,27";"21,99";"18,32";"23,88"
"19-08-2014";"01:33:26.18";"34,03";"33,41";"28,92";"31,45";"41,67";"29,58";"24,8";"21,45";"18,41";"23,44"
"19-08-2014";"01:33:26.25";"33,89";"38,01";"28,16";"42,36";"37,05";"29,11";"25,68";"22,36";"18,19";"23,34"
"19-08-2014";"01:33:26.31";"42,69";"35,24";"25,17";"42,16";"38,03";"31,67";"23,06";"21,94";"19,72";"23,56"
"19-08-2014";"01:33:26.37";"48,13";"33,34";"27,01";"42,06";"41,63";"32,6";"23,96";"21,89";"19,73";"23,73"
"19-08-2014";"01:33:26.43";"48,21";"27,56";"21,69";"35,27";"35,45";"29,11";"22,1";"19,82";"19,17";"23,73"
"19-08-2014";"01:33:26.50";"43,75";"28,52";"24,5";"26,15";"27,44";"28,37";"24,52";"20,95";"18,07";"23,46"
"19-08-2014";"01:33:26.56";"41,99";"26,58";"23,57";"24,77";"20,89";"29,34";"24,47";"19,93";"17,42";"23,67"
"19-08-2014";"01:33:26.62";"40,81";"23,09";"23,9";"18,47";"20,61";"30,81";"23,84";"22,71";"19,08";"23,76"
"19-08-2014";"01:33:26.68";"33,59";"24,24";"23,9";"22,15";"18,32";"29,28";"25,07";"22,66";"19,93";"23,91"
"19-08-2014";"01:33:26.75";"29,02";"26,21";"23,04";"21,65";"20,66";"29,93";"25,44";"21,08";"18,69";"23,78"
"19-08-2014";"01:33:26.81";"30,49";"25,99";"24,21";"21,52";"18,21";"28,82";"24,67";"20,56";"18,02";"23,71"
"19-08-2014";"01:33:26.87";"37,43";"25,19";"22,56";"19,72";"19,54";"30,64";"24,17";"22,52";"17,79";"23,99"
"19-08-2014";"01:33:26.93";"41,18";"26,52";"22,78";"19,97";"19,01";"30,09";"26,35";"21,79";"18,21";"23,82"
"19-08-2014";"01:33:27";"39,39";"23,09";"26,82";"25,15";"37,76";"36";"27,84";"22,51";"20,16";"23,29"
"19-08-2014";"01:33:27.06";"36,35";"27,11";"25,28";"27,94";"43,96";"31,85";"26,13";"22,91";"20,08";"23,82"
"19-08-2014";"01:33:27.12";"37,7";"23,64";"26,37";"28,05";"30,68";"30,15";"24,35";"21,61";"18,79";"23,81"
"19-08-2014";"01:33:27.18";"33,64";"21,87";"22,43";"24,76";"22,98";"29,69";"23,31";"21,5";"18,51";"23,76"
"19-08-2014";"01:33:27.25";"34,45";"23,24";"23,34";"29,64";"39,88";"29,96";"24,03";"20,66";"18,88";"23,51"
"19-08-2014";"01:33:27.31";"39,76";"22,69";"21,7";"24,95";"37,75";"28,61";"23,79";"19,97";"18,51";"23,49"
