"Date","Time","LAFMax","LASMax","LCFMax","LCSMax","LCIMax","LAIMax","LAeq","LCeq","LZPeak","LCPeak","LZeq","LAeqI","LAPeak"
"8/19/2014","01:32:14","38.06","36.54","47.13","44.81","48.08","39.83","36.06","41.91","76.44","55.27","65.66","38.84","49.34"
"8/19/2014","01:32:15","38.27","35.95","43.56","43.09","45.45","40.38","35.04","41.74","58.5","53.81","49","38.31","48.56"
"8/19/2014","01:32:16","37.84","36.02","42.86","42.36","45.25","40.16","34.95","39.59","54.95","53.27","45.43","38.81","48.2"
"8/19/2014","01:32:17","36.56","35.08","41.52","40.7","43.04","38.02","34.27","39.27","58.5","52.56","46.52","36.72","47.31"
"8/19/2014","01:32:18","37.63","35.31","42.22","40.31","43.81","39.15","35.11","40.09","56.06","52.15","45.93","37.7","49.11"
"8/19/2014","01:32:19","38.36","35.79","44.25","41.06","46.86","40.61","35.04","40.41","59.36","54.93","46.93","38.84","49.65"
"8/19/2014","01:32:20","40.16","37.15","46","42.47","48.04","42.13","37.86","43.18","61.68","55.88","50.06","40.41","51.29"
"8/19/2014","01:32:21","38.25","37.18","49.95","45.34","52.47","40.75","34.36","45.27","75.54","59.61","63.95","39.38","50.4"
"8/19/2014","01:32:22","38.18","35.47","44.58","43.61","50.06","40.93","34.86","40.84","59.81","56.79","49.09","38.31","50.52"
