"Date";"Time";"6.3Hz";"8Hz";"10Hz";"12.5Hz";"16Hz";"20Hz";"25Hz";"31.5Hz";"40Hz";"50Hz";"63Hz";"80Hz";"100Hz";"125Hz";"160Hz";"200Hz";"250Hz";"315Hz";"400Hz";"500Hz";"630Hz";"800Hz";"1kHz";"1.25kHz";"1.6kHz";"2kHz";"2.5kHz";"3.15kHz";"4kHz";"5kHz";"6.3kHz";"8kHz";"10kHz";"12.5kHz";"16kHz";"20kHz"
"19-08-2014";"01:31:53";"44,44";"44,84";"38,05";"34,6";"42,29";"33";"29,59";"23,26";"20,23";"21,31";"19,57";"21,43";"23,86";"20,02";"19,76";"19,26";"23,91";"28,4";"30,03";"28,96";"23,97";"28,98";"25,87";"21,73";"22,27";"16,67";"12,68";"11,91";"11,26";"11,37";"12,12";"12,63";"13,56";"15,41";"17,55";"20,83"
"19-08-2014";"01:31:55";"34,35";"39,42";"36,1";"36,65";"36,73";"38,44";"39,19";"37,38";"32,24";"33,92";"28,76";"31,82";"25,27";"21,88";"20";"21,91";"23,01";"32,55";"32,29";"29,72";"22,35";"28,21";"26,2";"25,99";"29,81";"22,09";"18,68";"15,58";"13,34";"12,75";"14,03";"16,75";"13,93";"15,54";"17,62";"20,87"
"19-08-2014";"01:31:57";"37,98";"39,51";"35,74";"33,05";"35,85";"27,72";"27,16";"29,02";"27,03";"25,03";"20,2";"20,86";"23,32";"19,31";"22,07";"22,07";"26,35";"35,52";"33,51";"31,35";"23,7";"28,38";"25,58";"20,7";"22,52";"18,34";"15,54";"15,72";"13,55";"12,32";"14,16";"13,69";"13,57";"15,5";"17,56";"20,86"
"19-08-2014";"01:31:59";"35,85";"28,9";"36,33";"31,59";"37,25";"31,7";"27,2";"18,52";"19,67";"20,47";"16,71";"18,99";"23,11";"22,09";"19,95";"23,58";"26,96";"34,91";"34,56";"26,15";"18,09";"28,35";"25,34";"19,42";"20,22";"17,59";"14,85";"13,59";"12,03";"12,34";"12,5";"12,43";"13,42";"15,25";"17,53";"20,87"
"19-08-2014";"01:32:01";"49,44";"39,63";"50,69";"44,41";"42,89";"40,7";"34,1";"30,62";"28,26";"27,49";"27,53";"25,55";"24,79";"20,36";"23,58";"25,01";"24,66";"33,3";"32,32";"29,4";"25,93";"28,36";"25";"21,09";"21,68";"18,37";"14,48";"12,81";"11,84";"12,19";"13,29";"12,79";"13,64";"15,34";"17,55";"20,83"
"19-08-2014";"01:32:03";"48,95";"46,71";"44,38";"43,6";"40,77";"33,52";"29,76";"26,71";"24,03";"24,48";"21,1";"19,53";"22,55";"17,52";"21,4";"24,63";"24,56";"31,63";"33,2";"27,76";"22,44";"28,95";"25,15";"19,94";"21,92";"17,95";"14,77";"13,52";"11,84";"12,49";"12,28";"12,58";"13,59";"15,39";"17,56";"20,87"
