"Date";"Time";"LAFMax";"LASMax";"LCFMax";"LCSMax";"LCIMax";"LAIMax";"LAeq";"LCeq";"LZPeak";"LCPeak";"LZeq";"LAeqI";"LAPeak"
"19-08-2014";"01:31:53";"37";"35,99";"44,99";"42,4";"46,63";"38,54";"34,16";"39,4";"74,3";"53,65";"60,77";"36,68";"48,52"
"19-08-2014";"01:31:55";"44,65";"37,84";"52,7";"45,29";"56,93";"49,29";"36,72";"43,47";"68,34";"66,15";"49,36";"45,29";"66,31"
"19-08-2014";"01:31:57";"39,79";"37,18";"46,02";"43,68";"54,04";"46,31";"35,84";"40,79";"59,29";"57,59";"46,24";"43,72";"52,29"
"19-08-2014";"01:31:59";"38,86";"36,63";"44,4";"41,75";"48,22";"40,75";"35,25";"40,27";"57,68";"54,79";"44,81";"39,43";"49,79"
"19-08-2014";"01:32:01";"38,29";"35,84";"51,52";"46,06";"54,27";"40,54";"35,08";"45,18";"84,26";"60,58";"72,22";"38,24";"50,5"
"19-08-2014";"01:32:03";"37,61";"35,34";"43,95";"44,43";"51,16";"40,47";"34,72";"40,93";"63,52";"55,24";"52,47";"38,11";"49,22"
