"Date";"Time";"31.5Hz";"63Hz";"125Hz";"250Hz";"500Hz";"1kHz";"2kHz";"4kHz";"8kHz";"16kHz"
"19-08-2014";"01:33:15";"37,17";"36,81";"33,26";"27,51";"31,74";"30,77";"26,63";"23,1";"19,13";"23,49"
"19-08-2014";"01:33:15.06";"42,97";"28,6";"26,4";"26,74";"27,83";"29,84";"25,5";"21,81";"17,8";"23,79"
"19-08-2014";"01:33:15.12";"42,43";"26,6";"27,04";"28,1";"36,48";"30,5";"30,34";"23,49";"18,15";"23,56"
"19-08-2014";"01:33:15.18";"39,9";"25,25";"22,35";"26,11";"34,91";"33,54";"30,05";"24,24";"18,98";"23,73"
"19-08-2014";"01:33:15.25";"38,17";"23,75";"23,07";"29,64";"38,02";"31,28";"27,71";"21,56";"19,31";"23,54"
"19-08-2014";"01:33:15.31";"35,95";"23,12";"27,05";"28,15";"41,17";"31,21";"26,21";"21,8";"18,69";"23,84"
"19-08-2014";"01:33:15.37";"35,07";"22,33";"24,17";"26,45";"29,36";"32,19";"26,6";"22,18";"18,09";"23,41"
"19-08-2014";"01:33:15.43";"35,86";"24,24";"23,24";"22,12";"24,2";"33,58";"28,2";"22,36";"18,73";"23,68"
"19-08-2014";"01:33:15.50";"35,2";"33,73";"34,03";"29,69";"20,48";"31,08";"24,93";"20,69";"18,9";"23,44"
"19-08-2014";"01:33:15.56";"37,71";"38,66";"24,55";"23,14";"23,27";"31,81";"24,9";"20,15";"18,37";"23,64"
"19-08-2014";"01:33:15.62";"39,37";"32,65";"26,63";"22,34";"24,24";"29,39";"24,48";"20,98";"18,55";"23,62"
"19-08-2014";"01:33:15.68";"37,87";"30,04";"24,03";"21,95";"18,74";"30,06";"23,87";"21,77";"19,24";"23,71"
"19-08-2014";"01:33:15.75";"36,08";"21,52";"23,99";"20,7";"17,94";"30,57";"23,73";"21,69";"19,8";"23,62"
"19-08-2014";"01:33:15.81";"32,85";"25,36";"24,69";"22,72";"18,87";"32,18";"23,24";"21,08";"18,74";"23,42"
"19-08-2014";"01:33:15.87";"28,77";"23,32";"27,2";"36,34";"29,14";"29,69";"25,86";"22,79";"18,88";"23,73"
"19-08-2014";"01:33:15.93";"30,83";"23,78";"33,17";"28,45";"34,68";"29,29";"24,8";"21,49";"18,74";"23,78"
"19-08-2014";"01:33:16";"34,1";"22,55";"25,74";"39,69";"39,74";"31,04";"33,45";"21,27";"18,93";"23,85"
"19-08-2014";"01:33:16.06";"33,99";"19,63";"30,3";"33,95";"28,79";"30,74";"24,92";"19,15";"18,15";"23,78"
"19-08-2014";"01:33:16.12";"34,62";"21,91";"27,14";"26,91";"22,01";"29,35";"24,13";"19,69";"17,79";"23,51"
"19-08-2014";"01:33:16.18";"33,9";"25,03";"25,76";"22,86";"18,69";"29,96";"24,12";"20,77";"18,4";"24,01"
"19-08-2014";"01:33:16.25";"32,11";"23,59";"23,09";"23,56";"23,68";"30,97";"23,07";"19,67";"18,36";"23,68"
"19-08-2014";"01:33:16.31";"31,2";"19,63";"21,71";"31,7";"34,53";"34,21";"23,52";"21,74";"18,47";"23,87"
"19-08-2014";"01:33:16.37";"31,8";"25,7";"25,95";"39,48";"32,49";"30,58";"24,8";"21,34";"18,57";"23,67"
"19-08-2014";"01:33:16.43";"30,88";"30,58";"26,04";"32,82";"35,6";"33,51";"23,99";"22,39";"17,89";"23,81"
"19-08-2014";"01:33:16.50";"25,46";"33,47";"27,07";"30,76";"36,4";"37,87";"25,22";"22,11";"18,53";"23,49"
"19-08-2014";"01:33:16.56";"35,61";"36,98";"28,88";"37,6";"33,97";"32,15";"29,39";"22,34";"18,05";"23,52"
"19-08-2014";"01:33:16.62";"38,25";"31,4";"32,08";"41,82";"30,76";"30,71";"26,17";"21,59";"18,47";"23,64"
"19-08-2014";"01:33:16.68";"37,07";"31,58";"29,98";"38,72";"35,18";"29,89";"25,99";"26,02";"18,88";"23,64"
"19-08-2014";"01:33:16.75";"34,74";"29,43";"28,86";"35,76";"33,65";"31,43";"28,02";"24,23";"19,01";"23,81"
"19-08-2014";"01:33:16.81";"33,75";"29,46";"28,91";"30,61";"35,02";"28,51";"26,02";"19,69";"17,98";"23,44"
"19-08-2014";"01:33:16.87";"33,15";"27,94";"25,71";"32,88";"39,21";"31,44";"26,95";"22,49";"18,09";"23,65"
"19-08-2014";"01:33:16.93";"30,42";"28,22";"27,32";"36,93";"34,6";"30,15";"23,52";"19,51";"18,62";"23,46"
"19-08-2014";"01:33:17";"31,21";"27,36";"23,84";"32,88";"24,89";"31,07";"23,17";"19,93";"18,53";"23,57"
"19-08-2014";"01:33:17.06";"31,22";"25,21";"23,6";"31,94";"26,95";"30,36";"24,87";"20,86";"18,6";"23,68"
"19-08-2014";"01:33:17.12";"35,72";"28,25";"25,08";"32,79";"41,96";"30,66";"28,28";"22,38";"17,99";"23,76"
"19-08-2014";"01:33:17.18";"38,51";"29,35";"26,38";"28,66";"40,62";"31,37";"26,63";"21,23";"17,97";"24,03"
"19-08-2014";"01:33:17.25";"40,71";"25,75";"25,91";"31,93";"30,98";"29,36";"23,57";"20,16";"17,55";"23,67"
"19-08-2014";"01:33:17.31";"38,96";"24,46";"23,41";"28,95";"27,32";"29,39";"24,3";"21,09";"18,34";"23,42"
"19-08-2014";"01:33:17.37";"35,86";"24,51";"24,44";"29,8";"25,53";"30,97";"23,71";"19,53";"18,21";"23,49"
"19-08-2014";"01:33:17.43";"35,83";"21,82";"25,19";"25,6";"27,24";"30,79";"22,45";"21,16";"18,41";"23,62"
"19-08-2014";"01:33:17.50";"37,44";"30,34";"23,88";"28,77";"29,8";"30,46";"23,51";"21,16";"18,67";"23,79"
