"Date","Time","LAFMax","LASMax","LCFMax","LCSMax","LCIMax","LAIMax","LAeq","LCeq","LZPeak","LCPeak","LZeq","LAeqI","LAPeak"
"8/19/2014","01:32:51","38.63","37.22","43.65","49.18","52.65","39.13","35.93","40.93","61.18","52.02","50.36","38.83","48.15"
"8/19/2014","01:32:51.25","35.88","36.86","41.11","48.27","51.93","38.47","34.2","40.18","60.04","51.68","51.93","38.11","47.81"
"8/19/2014","01:32:51.50","36.09","36.45","41.52","47.38","51.2","37.75","36.29","41.5","60.34","51.58","50.13","37.38","47.66"
"8/19/2014","01:32:51.75","37.08","36.5","43.29","46.61","50.5","38.75","36.22","42.79","59.63","53.09","50.83","38.2","48.36"
"8/19/2014","01:32:52","37","36.43","42.25","46","49.77","38.24","36.75","41.52","58.56","52.31","49.04","37.88","48.9"
"8/19/2014","01:32:52.25","37.09","36.45","41.95","45.31","49.04","37.79","32.7","40.86","59.56","51.58","51.47","37.45","47.65"
"8/19/2014","01:32:52.50","34.34","35.83","48.97","45.91","50.7","37.08","33.81","48.54","73.69","57.06","65.44","36.74","45.27"
"8/19/2014","01:32:52.75","35.59","35.5","49.31","46.27","50.59","36.59","35.49","46.24","77","56.22","71.2","36.33","47.06"
"8/19/2014","01:32:53","36.36","35.63","45.77","45.97","49.88","37.18","35.72","41.11","68.16","51.74","62.38","36.86","48.13"
"8/19/2014","01:32:53.25","35.56","35.52","42.5","45.25","49.15","36.72","34.99","41.15","59.11","50.47","51.52","36.47","47.43"
"8/19/2014","01:32:53.50","37.15","35.7","42.34","44.61","48.43","39.2","35.86","42.06","64.05","51.83","55.61","38.77","49.77"
"8/19/2014","01:32:53.75","36.79","35.72","42","44.16","47.7","38.68","35.52","39.38","57.31","51.66","48.95","38.47","49.25"
