"Date","Time","31.5Hz","63Hz","125Hz","250Hz","500Hz","1kHz","2kHz","4kHz","8kHz","16kHz"
"8/19/2014","01:32:14","31.66","28.02","28.23","34.95","37.74","30.83","23.09","20.17","19.75","23.68"
"8/19/2014","01:32:15","26.04","24.24","26.57","33.12","36.72","30.01","23.82","19.09","19.02","23.65"
"8/19/2014","01:32:16","27.62","24.07","26.94","33.34","34.73","31.5","24.14","19.55","18.82","23.62"
"8/19/2014","01:32:17","28.76","24.1","26.43","33.07","34.83","30.32","23.25","19.42","18.78","23.59"
"8/19/2014","01:32:18","29.77","24.92","26.71","32.57","35.83","31","24.44","20.48","20.48","23.65"
"8/19/2014","01:32:19","25.87","24.32","27.45","37.36","32.6","30.87","23.9","20.02","19.21","23.64"
"8/19/2014","01:32:20","28.13","24.25","28.86","40.58","37.13","31.86","25.27","20.01","18.3","23.64"
"8/19/2014","01:32:21","36.47","31.47","27.03","35.69","34.11","29.34","24.6","18.85","17.94","23.62"
"8/19/2014","01:32:22","30.04","25.91","25.42","36.65","34.22","30.14","24.07","19.34","18.12","23.64"
